idx,prompt,reference,lstm_generated,lora_generated
79,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),"
80,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(1664), np.int64(464)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np"
81,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(0), np.int64(2), np.int64(1202), np.int64(4), np.int64(30), np.int64(130)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np"
82,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(30),","np.int64(107), np.int64(138), np.int64(22), np.int64(1062), np.int64(92), np.int64(2541)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(30), np.int64(10), np.int64(10), np.int64(20), np.int64(20), np.int64(20), np.int64(10), np."
83,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(30), np.int64(234), np.int64(1970), np.int64(6), np.int64(670), np.int64(114), np.int64(6),","np.int64(8368), np.int64(6), np.int64(7337), np.int64(613), np.int64(169), np.int64(50)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(30), np.int64(234), np.int64(1970), np.int64(6), np.int64(670), np.int64(114), np.int64(6), np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np."
84,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(155), np.int64(65),","np.int64(994), np.int64(138), np.int64(145), np.int64(295), np.int64(515), np.int64(94)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(155), np.int64(65), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),"
85,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(248), np.int64(30), np.int64(139), np.int64(634), np.int64(51), np.int64(1476), np.int64(55), np.int64(185), np.int64(2878),","np.int64(3409), np.int64(1244), np.int64(944), np.int64(94), np.int64(201), np.int64(6)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(248), np.int64(30), np.int64(139), np.int64(634), np.int64(51), np.int64(1476), np.int64(55), np.int64(185), np.int64(2878), np.int64(2684), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np."
86,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(21),","np.int64(21), np.int64(21), np.int64(21), np.int64(21), np.int64(21), np.int64(8)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(21), np.int64(1), np.int64(2), np.int64(1), np.int64(1), np.int64(2), np.int64(2),"
87,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(1744), np.int64(378), np.int64(363),","np.int64(127), np.int64(546), np.int64(51), np.int64(231), np.int64(499), np.int64(4)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(1744), np.int64(378), np.int64(363), np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(0),"
88,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(130),","np.int64(170), np.int64(204), np.int64(221), np.int64(1095), np.int64(20), np.int64(135)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(130), np.int64(2), np.int64(3), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np"
89,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(0), np.int64(0), np.int64(2), np.int64(1117), np.int64(30), np.int64(244)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np"
90,"[np.int64(89), np.int64(525), np.int64(8), np.int64(30), np.int64(270), np.int64(117), np.int64(493), np.int64(94), np.int64(207), np.int64(198), np.int64(1797), np.int64(257), np.int64(160), np.int64(383), np.int64(1197), np.int64(46), np.int64(1210), np.int64(55),","np.int64(59), np.int64(3012), np.int64(73), np.int64(71), np.int64(117), np.int64(230)]",,"[np.int64(89), np.int64(525), np.int64(8), np.int64(30), np.int64(270), np.int64(117), np.int64(493), np.int64(94), np.int64(207), np.int64(198), np.int64(1797), np.int64(257), np.int64(160), np.int64(383), np.int64(1197), np.int64(46), np.int64(1210), np.int64(55), np.int64(10), np.int64(10), np.int64(1), np.int64(20), np.int64(25), np.int64(7), np"
91,"[np.int64(22), np.int64(5842), np.int64(40), np.int64(484), np.int64(819), np.int64(91), np.int64(673), np.int64(51), np.int64(6861), np.int64(59), np.int64(499), np.int64(3498), np.int64(950), np.int64(74), np.int64(3133), np.int64(6), np.int64(127), np.int64(30),","np.int64(245), np.int64(108), np.int64(343), np.int64(4447), np.int64(542), np.int64(823)]",,"[np.int64(22), np.int64(5842), np.int64(40), np.int64(484), np.int64(819), np.int64(91), np.int64(673), np.int64(51), np.int64(6861), np.int64(59), np.int64(499), np.int64(3498), np.int64(950), np.int64(74), np.int64(3133), np.int64(6), np.int64(127), np.int64(30), np.int64(4115), np.int64(1336), np.int64(1905), np.int64(1217), np.int64(1558), np.int64("
92,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(7), np.int64(370),","np.int64(1660), np.int64(4), np.int64(72), np.int64(142), np.int64(1724), np.int64(55)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(7), np.int64(370), np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np."
93,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(0), np.int64(2), np.int64(4243), np.int64(121), np.int64(51), np.int64(22)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np"
94,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(1235), np.int64(4), np.int64(30), np.int64(118),","np.int64(51), np.int64(328), np.int64(2118), np.int64(73), np.int64(410), np.int64(2758)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(1235), np.int64(4), np.int64(30), np.int64(118), np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np."
95,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(148), np.int64(127), np.int64(5416), np.int64(460), np.int64(19), np.int64(1468),","np.int64(6), np.int64(84), np.int64(1609), np.int64(204), np.int64(3685), np.int64(6)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(148), np.int64(127), np.int64(5416), np.int64(460), np.int64(19), np.int64(1468), np.int64(1039), np.int64(1639), np.int64(1468), np.int64(1468), np.int64(1639), np.int64"
96,"[np.int64(0), np.int64(2), np.int64(4263), np.int64(91), np.int64(84), np.int64(191), np.int64(1011), np.int64(48), np.int64(4318), np.int64(91), np.int64(59), np.int64(601), np.int64(706), np.int64(1221), np.int64(94), np.int64(522), np.int64(55), np.int64(59),","np.int64(62), np.int64(205), np.int64(568), np.int64(91), np.int64(74), np.int64(5431)]",,"[np.int64(0), np.int64(2), np.int64(4263), np.int64(91), np.int64(84), np.int64(191), np.int64(1011), np.int64(48), np.int64(4318), np.int64(91), np.int64(59), np.int64(601), np.int64(706), np.int64(1221), np.int64(94), np.int64(522), np.int64(55), np.int64(59), np.int64(1011), np.int64(1002), np.int64(1012), np.int64(541), np.int64(1), np.int64"
97,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(30), np.int64(903), np.int64(30), np.int64(107), np.int64(395), np.int64(500), np.int64(73),","np.int64(30), np.int64(107), np.int64(138), np.int64(370), np.int64(238), np.int64(61)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(30), np.int64(903), np.int64(30), np.int64(107), np.int64(395), np.int64(500), np.int64(73), np.int64(732), np.int64(10), np.int64(10), np.int64(13), np.int64(4), np.int64(14"
98,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2),","np.int64(3043), np.int64(82), np.int64(1824), np.int64(211), np.int64(30), np.int64(167)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(2), np.int64(1), np.int64(1), np.int64(1), np.int64(2), np.int64(2), np."
99,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(71), np.int64(61), np.int64(2602),","np.int64(22), np.int64(901), np.int64(2548), np.int64(61), np.int64(139), np.int64(2140)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(71), np.int64(61), np.int64(2602), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np."
100,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(30), np.int64(5),","np.int64(34), np.int64(79), np.int64(325), np.int64(30), np.int64(118), np.int64(71)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(30), np.int64(5), np.int64(0), np.int64(1), np.int64(1), np.int64(2), np.int64(2), np.int64(2),"
101,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(2), np.int64(65), np.int64(1486), np.int64(59), np.int64(616), np.int64(711)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np."
102,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(196)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),"
103,"[np.int64(851), np.int64(8), np.int64(30), np.int64(1044), np.int64(413), np.int64(173), np.int64(155), np.int64(7496), np.int64(8), np.int64(138), np.int64(1767), np.int64(20), np.int64(8538), np.int64(59), np.int64(2747), np.int64(1180), np.int64(48), np.int64(1481),","np.int64(221), np.int64(74), np.int64(3039), np.int64(5), np.int64(40), np.int64(7410)]",,"[np.int64(851), np.int64(8), np.int64(30), np.int64(1044), np.int64(413), np.int64(173), np.int64(155), np.int64(7496), np.int64(8), np.int64(138), np.int64(1767), np.int64(20), np.int64(8538), np.int64(59), np.int64(2747), np.int64(1180), np.int64(48), np.int64(1481), np.int64(842), np.int64(717), np.int64(1838), np.int64(1904), np.int64(1905), np.int64"
104,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2),","np.int64(3211), np.int64(190), np.int64(719), np.int64(118), np.int64(117), np.int64(55)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np."
105,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(174), np.int64(91), np.int64(150), np.int64(94), np.int64(177), np.int64(348), np.int64(30), np.int64(351), np.int64(5), np.int64(41), np.int64(82),","np.int64(555), np.int64(51), np.int64(189), np.int64(74), np.int64(558), np.int64(48)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(174), np.int64(91), np.int64(150), np.int64(94), np.int64(177), np.int64(348), np.int64(30), np.int64(351), np.int64(5), np.int64(41), np.int64(82), np.int64(2), np.int64(12), np.int64(17), np.int64(26), np.int64(37), np.int64(19),"
106,"[np.int64(8), np.int64(30), np.int64(5), np.int64(34), np.int64(121), np.int64(6), np.int64(30), np.int64(5), np.int64(34), np.int64(121), np.int64(8), np.int64(120), np.int64(130), np.int64(118), np.int64(51), np.int64(496), np.int64(22), np.int64(1198),","np.int64(73), np.int64(137), np.int64(355), np.int64(51), np.int64(1090), np.int64(3244)]",,"[np.int64(8), np.int64(30), np.int64(5), np.int64(34), np.int64(121), np.int64(6), np.int64(30), np.int64(5), np.int64(34), np.int64(121), np.int64(8), np.int64(120), np.int64(130), np.int64(118), np.int64(51), np.int64(496), np.int64(22), np.int64(1198), np.int64(11), np.int64(24), np.int64(23), np.int64(26), np.int64(31), np.int64(32), np."
107,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(3645)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np"
108,"[np.int64(0), np.int64(0), np.int64(2), np.int64(30), np.int64(244), np.int64(510), np.int64(92), np.int64(391), np.int64(59), np.int64(954), np.int64(30), np.int64(441), np.int64(5), np.int64(41), np.int64(3312), np.int64(8531), np.int64(1417), np.int64(300),","np.int64(6), np.int64(127), np.int64(61), np.int64(5), np.int64(40), np.int64(22)]",,"[np.int64(0), np.int64(0), np.int64(2), np.int64(30), np.int64(244), np.int64(510), np.int64(92), np.int64(391), np.int64(59), np.int64(954), np.int64(30), np.int64(441), np.int64(5), np.int64(41), np.int64(3312), np.int64(8531), np.int64(1417), np.int64(300), np.int64(4), np.int64(957), np.int64(634), np.int64(818), np.int64(764), np.int"
109,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(109), np.int64(2175), np.int64(6214), np.int64(581), np.int64(271), np.int64(1175), np.int64(155), np.int64(773),","np.int64(208), np.int64(148), np.int64(3659), np.int64(657), np.int64(54), np.int64(4)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(109), np.int64(2175), np.int64(6214), np.int64(581), np.int64(271), np.int64(1175), np.int64(155), np.int64(773), np.int64(732), np.int64(732), np.int64(1), np.int64(1), np.int64(624), np.int64("
110,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(730), np.int64(61), np.int64(6), np.int64(881), np.int64(61), np.int64(6), np.int64(4592), np.int64(55), np.int64(61), np.int64(6),","np.int64(61), np.int64(599), np.int64(177), np.int64(1039), np.int64(6), np.int64(441)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(730), np.int64(61), np.int64(6), np.int64(881), np.int64(61), np.int64(6), np.int64(4592), np.int64(55), np.int64(61), np.int64(6), np.int64(2), np.int64(5), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np"
111,"[np.int64(30), np.int64(170), np.int64(9817), np.int64(51), np.int64(1395), np.int64(8), np.int64(243), np.int64(373), np.int64(30), np.int64(170), np.int64(74), np.int64(426), np.int64(197), np.int64(51), np.int64(59), np.int64(1398), np.int64(48), np.int64(22),","np.int64(522), np.int64(8), np.int64(200), np.int64(384), np.int64(30), np.int64(189)]",,"[np.int64(30), np.int64(170), np.int64(9817), np.int64(51), np.int64(1395), np.int64(8), np.int64(243), np.int64(373), np.int64(30), np.int64(170), np.int64(74), np.int64(426), np.int64(197), np.int64(51), np.int64(59), np.int64(1398), np.int64(48), np.int64(22), np.int64(46), np.int64(12), np.int64(19), np.int64(18), np.int64(7), np.int64(14),"
112,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(2), np.int64(1654), np.int64(108), np.int64(1231), np.int64(692), np.int64(735)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int"
113,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(189), np.int64(94), np.int64(42), np.int64(234), np.int64(64),","np.int64(8), np.int64(175), np.int64(5), np.int64(41), np.int64(218), np.int64(196)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(189), np.int64(94), np.int64(42), np.int64(234), np.int64(64), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),"
114,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(353), np.int64(107), np.int64(30), np.int64(1206),","np.int64(30), np.int64(365), np.int64(1701), np.int64(13), np.int64(600), np.int64(6671)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(353), np.int64(107), np.int64(30), np.int64(1206), np.int64(2), np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np."
115,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(2), np.int64(74), np.int64(339), np.int64(130), np.int64(599), np.int64(259)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),"
116,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(1040), np.int64(715), np.int64(81), np.int64(22),","np.int64(785), np.int64(21), np.int64(108), np.int64(5), np.int64(40), np.int64(74)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(1040), np.int64(715), np.int64(81), np.int64(22), np.int64(5), np.int64(2), np.int64(3), np.int64(4), np.int64(3), np.int64(4),"
117,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(30), np.int64(320), np.int64(30), np.int64(356), np.int64(94), np.int64(127), np.int64(30),","np.int64(5), np.int64(34), np.int64(150), np.int64(286), np.int64(342), np.int64(5)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(30), np.int64(320), np.int64(30), np.int64(356), np.int64(94), np.int64(127), np.int64(30), np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(1), np.int64(2),"
